idx,score,mean_dist,sd_dist,cv_dist,min_dist,max_dist,range_dist,skewness,kurtosis,bottleneck_w1,bottleneck_w2,bottleneck_dist,potential_mean,improvement,km_cluster,topology
15323,77.66803239,0.8658277,0.08954372,0.103419796,0.702088,1.0628157,0.36072767,0.06674551,0.005116701,дырокол,ридикюль,0.702088,0.8740147,0.008186996,0,Uniform
15324,91.32665529,0.9700085,0.10059868,0.10370907,0.7387941,1.1102625,0.37146842,-0.76442975,0.096247196,диван,ремень,0.7387941,0.9815692,0.0115606785,3,Uniform
15325,87.98349706,0.9469659,0.11466755,0.12108942,0.7387941,1.0964588,0.3576647,-0.42775947,-1.0175425,ремень,диван,0.7387941,0.95737445,0.01040858,0,Uniform
15326,87.14498385,0.94097203,0.0767529,0.081567675,0.8120068,1.0497648,0.23775798,-0.20933308,-1.2734315,числительное,бормотуха,0.8120068,0.9474204,0.006448388,0,Uniform
15327,88.04353156,0.9473915,0.08652584,0.09133061,0.7398627,1.0712755,0.3314128,-0.91029125,0.4256549,диффузия,изоляция,0.7398627,0.95776796,0.010376453,3,Uniform
15328,82.44801815,0.9055842,0.11149173,0.12311581,0.66580534,1.0752921,0.40948677,-0.63924706,-0.55786467,поезд,машина,0.66580534,0.9175733,0.011989057,3,Uniform
15329,86.35564398,0.9352454,0.10557854,0.1128886,0.6673125,1.1087438,0.44143128,-0.6709325,0.49784088,микроб,инопланетянин,0.6673125,0.9486421,0.01339668,3,Uniform
15330,92.20767905,0.9758686,0.10779416,0.11045971,0.758406,1.190991,0.43258506,-0.122691266,-0.48529363,математика,урок,0.758406,0.98674166,0.010873079,0,Uniform
15331,82.33713355,0.90470815,0.08547644,0.094479576,0.76179945,1.0636764,0.3018769,0.16930926,-0.76409125,барракуда,чума,0.76179945,0.9118536,0.0071454644,0,Uniform
15332,84.64583313,0.92254585,0.071995646,0.07804018,0.7768506,1.0404437,0.26359308,-0.36371115,-0.57061315,колба,обложка,0.7768506,0.9298307,0.00728482,0,Uniform
15333,77.93028558,0.8681235,0.095880195,0.11044534,0.7142559,1.1014997,0.38724375,0.73975843,-0.066556215,нигилизм,абстракционизм,0.7142559,0.8758168,0.0076933503,0,Uniform
15334,93.39073487,0.98360825,0.08330694,0.08469524,0.8241774,1.0964502,0.27227283,-0.40068412,-0.87731934,саботаж,отрицание,0.8241774,0.99157983,0.007971585,0,Uniform
15335,94.84616943,0.9929352,0.12536365,0.12625562,0.7775317,1.2267048,0.44917315,0.10626138,-0.80222344,детство,сознание,0.7775317,1.0037054,0.010770202,0,Uniform
15336,96.63367972,1.0041119,0.06915537,0.068872176,0.87869304,1.1295818,0.25088876,0.029540427,-0.886986,кружка,нож,0.87869304,1.0103829,0.0062710047,0,Uniform
15337,90.3327489,0.9632945,0.074066,0.07688822,0.83419603,1.1318483,0.2976523,0.30008465,-0.20497799,агроном,тиран,0.83419603,0.96974933,0.0064548254,0,Uniform
15338,92.35567173,0.9768448,0.08346555,0.08544402,0.8084589,1.0810784,0.2726195,-0.36302876,-1.1048752,граница,лесополоса,0.8084589,0.9852641,0.008419335,0,Uniform
15339,89.62075268,0.9584155,0.10982254,0.11458761,0.7612033,1.2108128,0.44960952,0.38843536,0.10624695,кот,стул,0.7612033,0.96827614,0.009860635,0,Uniform
15340,86.68576288,0.93765056,0.13537107,0.14437263,0.6723339,1.1819005,0.5095666,-0.102229536,-0.61912465,елка,лампа,0.6723339,0.95091647,0.013265908,0,Uniform
15341,91.96885528,0.97428846,0.09152795,0.09394337,0.82393515,1.1233826,0.29944742,-0.05576312,-1.1071379,быт,бизнес,0.82393515,0.98180616,0.0075176954,0,Uniform
15342,94.2451381,0.9891089,0.07933604,0.080209605,0.8726629,1.1694934,0.29683053,0.22267748,-0.38527155,ярмо,яблоко,0.8726629,0.9949312,0.005822301,0,Uniform
15343,89.22179197,0.9556555,0.11522109,0.1205676,0.74150735,1.1220485,0.38054115,-0.46611366,-0.9802809,обезьяна,молекула,0.74150735,0.96636295,0.010707438,0,Uniform
15344,86.01776016,0.93276834,0.14840794,0.15910481,0.58661014,1.0922419,0.50563174,-0.8785268,-0.3955531,чувство,сердце,0.58661014,0.9500762,0.017307878,3,Star
15345,85.76572688,0.9309104,0.10522339,0.11303277,0.730259,1.113481,0.38322204,-0.21335144,-0.61255884,сердце,муж,0.730259,0.94094294,0.010032535,0,Uniform
15346,87.67826063,0.9447944,0.10901826,0.11538834,0.69270885,1.118029,0.42532015,-0.43565398,-0.19245076,авиапром,триплан,0.69270885,0.9573988,0.012604356,3,Uniform
15347,93.36647277,0.983451,0.08128437,0.082652174,0.761579,1.1255516,0.3639726,-0.5723952,1.011632,филантроп,фаворит,0.761579,0.9945446,0.0110936165,3,Uniform
15348,93.90753631,0.9869442,0.08540109,0.08653082,0.7777765,1.1060944,0.32831788,-0.8613671,-0.12764812,ковш,прут,0.7777765,0.99740255,0.01045835,3,Uniform
15349,94.35031033,0.98978114,0.08982935,0.09075678,0.67298293,1.1207899,0.44780695,-1.9519786,5.5978823,прух,сивуха,0.67298293,1.0056211,0.015839934,1,Uniform
15350,84.73193423,0.9231954,0.115900576,0.12554283,0.70167255,1.1213034,0.4196309,-0.23365226,-0.6237004,соль,цемент,0.70167255,0.93427163,0.011076212,0,Uniform
15351,87.59782866,0.9442203,0.10398159,0.11012429,0.71254134,1.1395403,0.42699897,-0.14473459,-0.3859334,снег,сад,0.71254134,0.9558042,0.011583924,0,Uniform
15352,90.34525331,0.9633796,0.0977503,0.10146602,0.7691519,1.1535189,0.384367,0.2557735,-0.20739818,собака,дверь,0.7691519,0.973091,0.009711385,0,Uniform
15353,90.66313189,0.9655387,0.0910427,0.09429213,0.71144867,1.1023372,0.39088857,-1.3564938,1.6975341,семья,еда,0.71144867,0.9782432,0.012704492,1,Uniform
15354,94.94061756,0.99353343,0.117871396,0.11863858,0.6826584,1.2334023,0.5507439,-0.6289192,1.073451,кровать,люстра,0.6826584,1.0090772,0.015543759,3,Uniform
15355,92.80462967,0.9797922,0.08650261,0.08828669,0.83681834,1.2406259,0.40380752,1.1342968,2.1226196,юрта,покемон,0.83681834,0.98694086,0.007148683,0,Uniform
15356,91.76862683,0.9729588,0.09579229,0.098454624,0.7526468,1.1020997,0.34945285,-1.0475541,0.4015758,террикон,базальт,0.7526468,0.98397446,0.011015654,3,Uniform
15357,90.33698514,0.96332324,0.0750764,0.077934794,0.7904432,1.1429183,0.35247517,0.11148155,0.93358636,обременение,кегля,0.7904432,0.97196734,0.008644104,0,Uniform
15358,88.92697116,0.9536036,0.08436827,0.088473104,0.7860657,1.0787904,0.29272473,-0.5282263,-0.7061827,гимнаст,мосток,0.7860657,0.96198064,0.008377016,3,Uniform
15359,89.60553244,0.9583104,0.13250992,0.13827452,0.6947236,1.1544931,0.4597695,-0.17686374,-1.0427904,банан,булка,0.6947236,0.9714898,0.013179362,0,Uniform
15360,86.29204841,0.9347804,0.093427174,0.09994558,0.7673009,1.1205878,0.35328692,-0.09016507,-0.8188398,гардина,смородина,0.7673009,0.94315434,0.008373916,0,Uniform
15361,91.34628273,0.97014,0.10988204,0.11326411,0.7332925,1.135078,0.40178543,-0.29331115,-0.69644046,пакет,салат,0.7332925,0.98198235,0.01184237,0,Uniform
15362,93.97821462,0.9873983,0.10847399,0.109858386,0.6858511,1.1406647,0.4548136,-0.76824707,0.8623314,мальва,черница,0.6858511,1.0024757,0.015077412,3,Uniform
15363,86.3375097,0.93511283,0.09738527,0.10414281,0.69938713,1.0621176,0.36273044,-1.1127275,0.33081794,зигзаг,светлячок,0.69938713,0.9468991,0.011786282,3,Uniform
15364,90.59505347,0.96507716,0.06898148,0.07147769,0.85291255,1.0632966,0.21038401,0.029820308,-1.2712587,инфляция,таблица,0.85291255,0.9706855,0.0056083202,0,Uniform
15365,89.68487284,0.9588573,0.069966935,0.07296908,0.78616565,1.0718254,0.28565973,-0.5479849,0.21451926,солнцестояние,клизма,0.78616565,0.9674919,0.008634627,3,Uniform
15366,94.64795283,0.9916772,0.11485074,0.11581463,0.81006974,1.1640668,0.35399705,-0.19538908,-1.3565524,карбид,додекаэдр,0.81006974,1.0007576,0.00908035,0,Uniform
15367,75.11528537,0.8426819,0.091255695,0.10829198,0.6989708,1.0175402,0.31856942,0.4618584,-0.7031925,вода,стекло,0.6989708,0.8498675,0.007185638,0,Uniform
15368,88.04994953,0.947437,0.07861197,0.082973294,0.83207816,1.1109353,0.27885717,0.5222014,-0.5521045,рельс,метроном,0.83207816,0.953205,0.005768001,0,Uniform
15369,89.78367796,0.95953715,0.12786713,0.13325918,0.7695881,1.1688986,0.39931047,-0.2445397,-1.318879,пламя,знамя,0.7695881,0.96903455,0.009497404,0,Uniform
15370,78.49716656,0.87303716,0.09455291,0.10830342,0.706015,1.044918,0.33890295,-0.06858506,-0.700902,камень,ковер,0.706015,0.8813883,0.008351147,0,Uniform
15371,85.40410998,0.9282291,0.1231502,0.1326722,0.7093008,1.1230645,0.4137637,-0.25465032,-0.78880286,стояк,дырокол,0.7093008,0.9391755,0.010946393,0,Uniform
15372,79.98496975,0.88562953,0.08792455,0.09927915,0.70937,1.0577382,0.34836817,-0.12539972,-0.31435466,плитка,ручка,0.70937,0.89444256,0.008813024,0,Uniform
15373,87.29485406,0.9420499,0.0994387,0.10555565,0.7156682,1.0921646,0.37649643,-0.50458026,-0.44847417,синхрофазотрон,пепелац,0.7156682,0.953369,0.011319101,3,Uniform
15374,94.45268426,0.99043417,0.12993942,0.13119441,0.6133829,1.2195001,0.6061172,-1.1006055,1.7696319,жизнь,радость,0.6133829,1.0092868,0.018852592,1,Uniform
15375,86.61578367,0.9371419,0.1079845,0.115227476,0.7156682,1.1093855,0.3937173,-0.35293123,-0.88138103,синхрофазотрон,пепелац,0.7156682,0.9482156,0.0110737085,0,Uniform
