word,dat_frequency,mean_score,category,umap_x,umap_y
юродство,1,89.88342469,UNCATEGORIZED,8.580372,5.2640977
молитвенник,1,82.70509481,UNCATEGORIZED,5.990432,7.1120834
громыхание,1,86.447539,UNCATEGORIZED,5.707989,5.896691
формализм,1,88.28683392,UNCATEGORIZED,8.2594595,4.515409
навага,1,95.48833842,UNCATEGORIZED,0.28510803,5.1839128
повешение,1,95.28717836,UNCATEGORIZED,7.7238326,7.1134367
карбованец,2,91.0606015,UNCATEGORIZED,4.2276726,4.5048056
усмешка,2,93.84416267,UNCATEGORIZED,4.6369853,4.2675786
мститель,1,90.02238841,UNCATEGORIZED,1.7295794,9.571491
поприще,2,90.80308945499999,UNCATEGORIZED,8.563342,6.508577
скула,1,97.66593693,UNCATEGORIZED,3.9064608,3.881146
верчение,1,79.29506722,UNCATEGORIZED,7.569217,4.890073
кривотолки,1,94.3820064,UNCATEGORIZED,7.614029,5.8468585
головняк,2,89.76918099,UNCATEGORIZED,6.3892307,6.2445784
интеллигентность,1,93.80314508,UNCATEGORIZED,9.473218,4.9690843
отдаленность,1,92.65791826,UNCATEGORIZED,9.600828,4.6420856
плевел,1,85.51324353,UNCATEGORIZED,2.4702065,2.0768676
ренегатство,1,85.51324353,UNCATEGORIZED,8.328737,5.063593
пария,2,88.65701902,UNCATEGORIZED,1.3639586,9.877471
монстрик,2,93.95324876999999,UNCATEGORIZED,1.0533923,8.324773
мяско,1,97.58129478,UNCATEGORIZED,3.1164408,2.3065758
лимбо,3,91.78371072333334,UNCATEGORIZED,0.83456105,6.7857256
четкость,1,92.97827334,UNCATEGORIZED,9.452203,4.716202
муляж,1,87.0075109,UNCATEGORIZED,6.1855516,5.889669
горючее,1,63.68287611,UNCATEGORIZED,3.9524267,2.4236126
обиталище,1,58.61468927,UNCATEGORIZED,4.6482797,6.4387703
злоупотребление,1,98.33271333,UNCATEGORIZED,8.2649975,5.7299805
будущность,1,98.33271333,UNCATEGORIZED,8.767588,6.443059
летяга,1,93.10099814,UNCATEGORIZED,0.25647923,8.155811
нефрит,1,87.76868948,UNCATEGORIZED,4.267486,1.4132364
запутанность,1,86.98031602,UNCATEGORIZED,9.567782,4.364884
вставка,1,84.44657798,UNCATEGORIZED,6.4974117,5.056494
авторитет,2,86.75417788,UNCATEGORIZED,8.545301,6.390315
девственник,1,82.09527136,UNCATEGORIZED,1.1319382,9.782203
триместр,1,80.5306673,UNCATEGORIZED,7.809754,3.2065794
полати,2,85.26866642499999,UNCATEGORIZED,2.8513095,4.577072
яз,1,86.39954411,UNCATEGORIZED,1.5265118,8.344968
створ,1,92.24690534,UNCATEGORIZED,3.7106175,6.040788
ариго,1,96.56265229,UNCATEGORIZED,0.69239557,6.746004
сплетня,1,86.84452967,UNCATEGORIZED,7.2582254,6.04967
тель,1,93.46239953,UNCATEGORIZED,0.016115705,6.163579
квадра,1,96.11867794,UNCATEGORIZED,1.1384939,6.415318
праязык,1,90.40820846,UNCATEGORIZED,6.4823465,3.7398746
ажур,3,90.64439538333333,UNCATEGORIZED,6.3665905,6.3302855
курта,1,90.40820846,UNCATEGORIZED,1.0083795,6.173578
окоп,1,86.82942784,UNCATEGORIZED,4.141561,5.8521237
гровер,1,95.90131245,UNCATEGORIZED,0.551626,6.9599795
оскар,3,89.90230618333332,UNCATEGORIZED,0.23151173,7.110513
инструктаж,1,83.84711392,UNCATEGORIZED,6.9068666,7.3672214
перекос,1,93.26436257,UNCATEGORIZED,7.2059937,6.2250957
мелк,1,90.71079973,UNCATEGORIZED,0.681384,6.247562
спорынья,3,87.97456024999998,UNCATEGORIZED,6.228015,4.3804374
устрашение,1,83.66350061,UNCATEGORIZED,8.348564,5.6917486
финансирование,1,94.60157725,UNCATEGORIZED,7.721891,6.768593
забитость,1,93.58127258,UNCATEGORIZED,9.4204855,4.4125423
канадец,1,92.8984027,UNCATEGORIZED,1.7001553,9.075031
дюгонь,1,81.25071419,UNCATEGORIZED,0.8633024,7.7734795
корсар,1,81.4459887,UNCATEGORIZED,1.7695056,9.484498
франчайзинг,3,84.26923842333333,UNCATEGORIZED,7.412948,4.4186916
шериф,1,89.67511829,UNCATEGORIZED,3.0553339,9.19405
соцсеть,1,89.96512231,UNCATEGORIZED,3.1754777,6.489014
перегрузка,2,94.18222605,UNCATEGORIZED,7.0764346,4.6737323
кремнезем,1,88.36340327,UNCATEGORIZED,4.7500877,2.222737
снега,1,91.64802429,UNCATEGORIZED,5.1168756,4.4453044
пригород,2,90.79129037499999,UNCATEGORIZED,4.5677786,6.953905
спрингфилд,1,80.16256826,UNCATEGORIZED,3.696067,7.1865153
шарлотка,1,92.19025238,UNCATEGORIZED,3.1651707,2.3005664
феда,1,82.66386965,UNCATEGORIZED,1.1672003,6.9539337
