word,dat_freq,corpus_freq,log_corpus_freq,zipf_freq,mean_score_contrib,in_vocab,dat_freq_rank,corpus_freq_rank
самосохранение,2,2.82e-07,-6.549750891680639,2.45,0.96584684,True,9435.0,10314.0
самостийность,2,3.72e-08,-7.429457060118103,1.57,0.9451384,True,9435.0,15449.0
самостоятельность,11,2.82e-06,-5.549750891680639,3.45,1.0057423,True,2872.0,3589.0
самость,33,1.82e-07,-6.739928612014925,2.26,0.96209764,True,797.0,11768.0
самосуд,2,6.92e-07,-6.1598939055432425,2.84,0.9820747,True,9435.0,7371.0
самоубийство,1,7.24e-06,-5.140261433802853,3.86,1.0401422,True,11961.0,1927.0
самоуправство,1,4.07e-07,-6.39040559077478,2.61,0.8933099,True,11961.0,9070.0
самоучитель,1,3.55e-07,-6.449771646944906,2.55,1.019163,True,11961.0,9539.0
самоход,1,3.02e-08,-7.519993057042849,1.48,0.8331976,True,11961.0,15690.0
самоцвет,3,1.86e-07,-6.730487055782084,2.27,0.9827283,True,7747.0,11706.0
самочувствие,1,4.79e-06,-5.319664486585437,3.68,0.9069598,True,11961.0,2563.0
самсунг,1,3.55e-07,-6.449771646944906,2.55,0.91244346,True,11961.0,9539.0
самум,2,1.05e-07,-6.978810700930062,2.02,0.89960814,True,9435.0,13373.0
самурай,14,1.91e-06,-5.718966632752273,3.28,0.97107977,True,2220.0,4522.0
самшит,2,9.12e-08,-7.0400051616715835,1.96,1.0413561,True,9435.0,13759.0
сан,3,8.32e-05,-4.079876673709276,4.92,0.9730937,True,7747.0,183.0
санаторий,3,4.79e-06,-5.319664486585437,3.68,0.9475809,True,7747.0,2563.0
санация,3,2.19e-07,-6.6595558851598815,2.34,0.9271251,True,7747.0,11192.0
сангвиник,2,7.41e-08,-7.130181792020672,1.87,0.8980065,True,9435.0,14276.0
сангина,1,6.03e-08,-7.219682687859849,1.78,0.9823575,True,11961.0,14681.0
сандал,5,1.95e-07,-6.709965388637482,2.29,0.9373152,True,5709.0,11538.0
сандалия,5,2.24e-08,-7.649751981665837,1.35,0.8798873,True,5709.0,15982.0
сани,15,3.16e-06,-5.5003129173815966,3.5,0.96683383,True,2073.0,3354.0
санитар,1,9.77e-07,-6.010105436281227,2.99,0.9610455,True,11961.0,6276.0
санки,12,1.02e-06,-5.991399828238082,3.01,0.9822341,True,2627.0,6157.0
санкция,3,6.46e-07,-6.189767482004916,2.81,0.91114837,True,7747.0,7583.0
сановник,1,3.09e-07,-6.510041520575165,2.49,0.97883576,True,11961.0,10021.0
сансар,7,0.0,,0.0,0.95454025,True,4372.0,16422.0
санскрит,4,3.16e-07,-6.5003129173815966,2.5,0.9397504,True,6612.0,9934.0
сант,2,8.91e-07,-6.050122295963125,2.95,0.9624166,True,9435.0,6591.0
сантехник,9,8.13e-07,-6.089909454405932,2.91,0.9552497,True,3469.0,6868.0
сантехника,1,8.13e-07,-6.089909454405932,2.91,0.9249181,True,11961.0,6868.0
сантименты,2,2e-07,-6.698970004336019,2.3,0.93176603,True,9435.0,11470.0
