timestamp,score,words,time_spent
2026-02-18T13:21:26.822Z,95.39370559,"сон, аэронавт, кориандр, фенол, искра, мушмула, приоритет",139
2026-02-18T13:21:47.764Z,86.58520222,"окно, юла, стрекоза, очко, канал, клей, почка",42
2026-02-18T13:22:00.896Z,89.43854885,"подарок, свинья, злость, математика, шасси, водоросль, тряпка",135
2026-02-18T13:22:10.260Z,91.50072888,"скатерть, глаз, баранина, стрела, кнут, брусчатка, мезонин",93
2026-02-18T13:22:15.666Z,89.36953434,"малина, ежик, нейросеть, гитара, чай, папа, мистерия",99
2026-02-18T13:22:46.832Z,56.55647099,"теща, зять, семья, ребенок, внук, сестра, брат",54
2026-02-18T13:23:24.189Z,84.04518808,"стол, баланс, мост, кукла, деятельность, любовь, хлеб",50
2026-02-18T13:23:50.817Z,72.95959264,"дом, гора, мед, дорога, весна, речка, трамвай",75
2026-02-18T13:23:56.143Z,92.53554881,"корова, помидор, ремесло, квартира, полигон, тундра, решетка",54
2026-02-18T13:24:09.080Z,76.98260806,"кровать, лес, крем, кошка, песок, ручка, облако",62
2026-02-18T13:24:12.536Z,95.78415827,"скирд, лебедь, гравий, велосипед, непостоянство, авария, словесность",108
2026-02-18T13:24:51.593Z,82.98251452,"соль, муж, колокол, весна, рысь, глаз, небо",54
2026-02-18T13:25:18.932Z,76.70056523,"дверь, ночь, газета, пианино, еда, решетка, телефон",48
2026-02-18T13:25:23.531Z,94.19805589,"клей, белка, поезд, андроид, естествознание, кольцо, ягода",87
2026-02-18T13:25:27.733Z,83.70159007,"зима, печень, смысл, лес, повесть, йога, сон",117
2026-02-18T13:25:58.536Z,84.6638271,"жизнь, лимон, пчела, корабль, гора, приют, копейка",56
2026-02-18T13:26:00.987Z,95.84151222,"кофе, вариант, планета, верификатор, конституция, монокль, клапан",180
2026-02-18T13:26:14.384Z,90.42629087,"холод, карандаш, настроение, пуговица, дельфин, обрыв, хлеб",180
2026-02-18T13:26:35.877Z,91.32237292,"калибр, унитаз, ветхость, синдром, пост, аккаунт, вертихвостка",112
2026-02-18T13:26:47.915Z,87.51115048,"полет, стол, червяк, власть, тревога, красота, дождь",137
2026-02-18T13:26:52.655Z,89.6873843,"ложка, кризис, нитка, кактус, облако, безумие, слизь",67
2026-02-18T13:26:53.385Z,91.10270024,"лес, математик, волос, телевизор, снеговик, кофта, автомобиль",129
2026-02-18T13:26:53.861Z,82.74647932,"глупость, гиря, лопата, кварк, панамка, весло, шуруп",200
2026-02-18T13:27:16.865Z,97.60273494,"словоформа, насос, крыло, изнанка, кислота, отчаяние, роза",104
2026-02-18T13:27:24.006Z,76.03325023,"дом, собака, дерево, калитка, штаны, платье, суп",44
2026-02-18T13:27:27.786Z,94.47599775,"ряд, слон, синоним, искусство, доброта, америк, ангина",178
